Cluster,GO biological process ,Classification,Goterm,Homo sapiens - REFLIST (20589),upload_1 (86),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR),ArbitraryNumberRank
Cluster-3,regulation of G0 to G1 transition ,Cell Cycle,GO:0070316,37,1,0.01,+, > 100,5.53E-03,,17
Cluster-3,deoxyribonucleotide biosynthetic process ,Biosynthetic Process,GO:0009263,16,1,0,+, > 100,2.47E-03,,7
Cluster-3,deoxyribose phosphate biosynthetic process ,Biosynthetic Process,GO:0046385,16,1,0,+, > 100,2.47E-03,,8
Cluster-3,DNA synthesis involved in DNA repair ,Gene Expression,GO:0000731,39,1,0.01,+, > 100,5.82E-03,,18
Cluster-3,mitochondrial DNA metabolic process ,Mitochondrial DNA replication ,GO:0032042,17,1,0,+, > 100,2.62E-03,,9
Cluster-3,carbon dioxide transport ,Intercellular Transport,GO:0015670,13,1,0,+, > 100,2.04E-03,,3
Cluster-3,one-carbon compound transport ,Intercellular Transport,GO:0019755,24,1,0,+, > 100,3.64E-03,,11
Cluster-3,oxygen transport ,Intercellular Transport,GO:0015671,15,1,0,+, > 100,2.33E-03,,4
Cluster-3,mitochondrial genome maintenance ,Intracellular Process,GO:0000002,26,1,0,+, > 100,3.93E-03,,12
Cluster-3,protein heterooligomerization ,Intracellular Process,GO:0051291,27,1,0,+, > 100,4.07E-03,,13
Cluster-3,protein heterotetramerization ,Intracellular Process,GO:0051290,15,1,0,+, > 100,2.33E-03,,5
Cluster-3,2'-deoxyribonucleotide metabolic process ,Metabolic Process,GO:0009394,44,1,0.01,+, > 100,6.54E-03,,20
Cluster-3,deoxyribonucleotide metabolic process ,Metabolic Process,GO:0009262,45,1,0.01,+, > 100,6.69E-03,,22
Cluster-3,deoxyribose phosphate metabolic process ,Metabolic Process,GO:0019692,45,1,0.01,+, > 100,6.69E-03,,23
Cluster-3,gas transport ,Metabolic Process,GO:0015669,21,1,0,+, > 100,3.20E-03,,10
Cluster-3,hydrogen peroxide catabolic process ,Metabolic Process,GO:0042744,28,1,0,+, > 100,4.22E-03,,14
Cluster-3,hydrogen peroxide metabolic process ,Metabolic Process,GO:0042743,40,1,0.01,+, > 100,5.96E-03,,19
Cluster-3,mitochondrial DNA replication ,Mitochondrial DNA replication ,GO:0006264,10,1,0,+, > 100,1.60E-03,,2
Cluster-4,biological process involved in interspecies interaction between organisms ,Biologic Process,GO:0044419,1602,10,1.24,+,8.03,4.32E-08,1.35E-04,4
Cluster-4,reactive oxygen species biosynthetic process ,Biosynthetic Process,GO:1903409,15,3,0.01,+, > 100,3.11E-07,4.44E-04,11
Cluster-4,antibacterial humoral response ,Immune Function,GO:0019731,60,4,0.05,+,85.79,1.50E-07,2.94E-04,8
Cluster-4,antimicrobial humoral immune response mediated by antimicrobial peptide ,Immune Function,GO:0061844,104,5,0.08,+,61.87,1.57E-08,8.23E-05,2
Cluster-4,antimicrobial humoral response ,Immune Function,GO:0019730,144,5,0.11,+,44.68,7.57E-08,1.98E-04,6
Cluster-4,defense response to other organism ,Immune Function,GO:0098542,1068,8,0.83,+,9.64,4.76E-07,6.23E-04,12
Cluster-4,humoral immune response ,Immune Function,GO:0006959,339,5,0.26,+,18.98,4.73E-06,3.09E-03,23
Cluster-4,immune system process ,Immune Function,GO:0002376,2429,10,1.89,+,5.3,2.16E-06,1.69E-03,18
Cluster-4,negative regulation of cytokine production ,Immune Function,GO:0001818,286,5,0.22,+,22.5,2.09E-06,1.72E-03,19
Cluster-4,negative regulation of interleukin-8 production ,Immune Function,GO:0032717,19,3,0.01,+, > 100,5.86E-07,7.07E-04,13
Cluster-4,regulation of cytokine production ,Immune Function,GO:0001817,742,7,0.58,+,12.14,7.00E-07,7.84E-04,15
Cluster-4,respiratory burst ,Immune Function,GO:0045730,25,3,0.02,+, > 100,1.24E-06,1.15E-03,17
Cluster-4,hydrogen peroxide metabolic process ,Metabolic Process,GO:0042743,40,3,0.03,+,96.51,4.65E-06,3.17E-03,24
Cluster-4,defense response to bacterium ,Response to Bacteria,GO:0042742,376,6,0.29,+,20.53,2.67E-07,4.19E-04,10
Cluster-4,defense response to Gram-negative bacterium ,Response to Bacteria,GO:0050829,92,4,0.07,+,55.95,7.71E-07,8.06E-04,16
Cluster-4,response to bacterium ,Response to Bacteria,GO:0009617,754,7,0.59,+,11.95,7.79E-07,7.64E-04,14
Cluster-4,response to lipopolysaccharide ,Response to Bacteria,GO:0032496,313,5,0.24,+,20.56,3.22E-06,2.41E-03,21
Cluster-4,response to molecule of bacterial origin ,Response to Bacteria,GO:0002237,331,5,0.26,+,19.44,4.22E-06,3.01E-03,22
Cluster-4,cellular response to L-glutamine ,Response to Stimulus,GO:1904845,3,2,0,+, > 100,5.65E-06,3.28E-03,25
Cluster-4,response to biotic stimulus ,Response to Stimulus,GO:0009607,1478,10,1.15,+,8.71,2.00E-08,7.86E-05,1
Cluster-4,response to external biotic stimulus ,Response to Stimulus,GO:0043207,1432,10,1.11,+,8.99,1.48E-08,1.16E-04,3
Cluster-4,response to external stimulus ,Response to Stimulus,GO:0009605,2469,11,1.92,+,5.73,1.84E-07,3.21E-04,9
Cluster-4,response to lipid ,Response to Stimulus,GO:0033993,843,8,0.66,+,12.21,7.85E-08,1.76E-04,5
Cluster-4,response to other organism ,Response to Stimulus,GO:0051707,1429,10,1.11,+,9,1.45E-08,2.28E-04,7
Cluster-4,response to steroid hormone ,Response to Stimulus,GO:0048545,284,5,0.22,+,22.66,2.02E-06,1.76E-03,20
Cluster-5,negative regulation of blood coagulation ,Blood Clotting,GO:0030195,46,5,0.05,+, > 100,1.50E-09,3.36E-06,8
Cluster-5,negative regulation of coagulation ,Blood Clotting,GO:0050819,50,5,0.05,+,98.04,2.21E-09,3.86E-06,9
Cluster-5,negative regulation of hemostasis ,Blood Clotting,GO:1900047,47,5,0.05,+, > 100,1.66E-09,3.25E-06,7
Cluster-5,regulation of blood coagulation ,Blood Clotting,GO:0030193,70,5,0.07,+,70.03,1.08E-08,1.21E-05,14
Cluster-5,regulation of coagulation ,Blood Clotting,GO:0050818,75,5,0.08,+,65.36,1.50E-08,1.31E-05,18
Cluster-5,regulation of hemostasis ,Blood Clotting,GO:1900046,72,5,0.07,+,68.09,1.24E-08,1.30E-05,17
Cluster-5,regulation of endopeptidase activity ,Metabolic Process,GO:0052548,422,8,0.43,+,18.59,5.40E-09,7.05E-06,12
Cluster-5,regulation of hydrolase activity ,Metabolic Process,GO:0051336,1020,10,1.04,+,9.61,1.98E-08,1.64E-05,19
Cluster-5,regulation of peptidase activity ,Metabolic Process,GO:0052547,452,8,0.46,+,17.35,9.14E-09,1.10E-05,13
Cluster-5,regulation of proteolysis ,Metabolic Process,GO:0030162,743,8,0.76,+,10.56,4.00E-07,2.73E-04,23
Cluster-5,negative regulation of catalytic activity ,Metabolic Process,GO:0043086,781,9,0.8,+,11.3,3.32E-08,2.60E-05,20
Cluster-5,negative regulation of endopeptidase activity ,Metabolic Process,GO:0010951,248,8,0.25,+,31.63,8.99E-11,7.05E-07,4
Cluster-5,negative regulation of hydrolase activity ,Metabolic Process,GO:0051346,363,9,0.37,+,24.31,4.48E-11,7.03E-07,3
Cluster-5,negative regulation of molecular function ,Molecular Function,GO:0044092,1150,9,1.17,+,7.67,8.66E-07,5.66E-04,24
Cluster-5,negative regulation of peptidase activity ,Metabolic Process,GO:0010466,257,8,0.26,+,30.52,1.18E-10,4.64E-07,1
Cluster-5,negative regulation of proteolysis ,Metabolic Process,GO:0045861,345,8,0.35,+,22.73,1.15E-09,3.00E-06,6
Cluster-5,negative regulation of multicellular organismal process ,Multicellular Organismal Process,GO:0051241,1039,9,1.06,+,8.49,3.71E-07,2.64E-04,22
Cluster-5,regulation of multicellular organismal process ,Multicellular Organismal Process,GO:0051239,2750,12,2.8,+,4.28,2.97E-06,1.86E-03,25
Cluster-5,negative regulation of response to external stimulus ,Response to Stimulus,GO:0032102,391,8,0.4,+,20.06,3.00E-09,4.71E-06,10
Cluster-5,regulation of response to external stimulus ,Response to Stimulus,GO:0032101,973,10,0.99,+,10.08,1.27E-08,1.24E-05,16
Cluster-5,regulation of response to stress ,Response to Stimulus,GO:0080134,1373,10,1.4,+,7.14,3.19E-07,2.38E-04,21
Cluster-5,negative regulation of response to wounding ,Wound Healing,GO:1903035,85,6,0.09,+,69.21,3.22E-10,1.01E-06,5
Cluster-5,negative regulation of wound healing ,Wound Healing,GO:0061045,69,6,0.07,+,85.25,9.84E-11,5.14E-07,2
Cluster-5,regulation of response to wounding ,Wound Healing,GO:1903034,162,6,0.17,+,36.31,1.32E-08,1.21E-05,15
Cluster-5,regulation of wound healing ,Wound Healing,GO:0061041,130,6,0.13,+,45.25,3.70E-09,5.27E-06,11
Cluster-6,blood coagulation ,Blood Clotting,GO:0007596,173,7,0.59,+,11.9,2.56E-06,8.03E-03,7
Cluster-6,coagulation ,Blood Clotting,GO:0050817,175,7,0.59,+,11.77,2.75E-06,7.20E-03,5
Cluster-6,hemostasis ,Blood Clotting,GO:0007599,178,7,0.61,+,11.57,3.07E-06,6.02E-03,3
Cluster-6,platelet activation ,Blood Clotting,GO:0030168,97,5,0.33,+,15.16,2.49E-05,2.17E-02,16
Cluster-6,platelet aggregation ,Blood Clotting,GO:0070527,43,4,0.15,+,27.36,1.93E-05,2.16E-02,14
Cluster-6,regulation of body fluid levels ,Homeostasis,GO:0050878,375,8,1.27,+,6.27,4.49E-05,2.82E-02,25
Cluster-6,immune effector process ,Immune Function,GO:0002252,470,9,1.6,+,5.63,3.33E-05,2.38E-02,21
Cluster-6,innate immune response ,Immune Function,GO:0045087,832,12,2.83,+,4.24,2.40E-05,2.21E-02,17
Cluster-6,leukocyte activation ,Immune Function,GO:0045321,581,11,1.98,+,5.57,4.56E-06,7.94E-03,6
Cluster-6,leukocyte migration ,Immune Function,GO:0050900,250,7,0.85,+,8.24,2.61E-05,2.16E-02,15
Cluster-6,lymphocyte activation ,Immune Function,GO:0046649,465,9,1.58,+,5.69,3.07E-05,2.41E-02,22
Cluster-6,regulation of phagocytosis ,Immune Function,GO:0050764,105,5,0.36,+,14.01,3.59E-05,2.45E-02,23
Cluster-6,T cell activation ,Immune Function,GO:0042110,300,8,1.02,+,7.84,9.43E-06,1.48E-02,10
Cluster-6,regulation of vesicle-mediated transport ,Intercellular Transport,GO:0060627,552,10,1.88,+,5.33,1.88E-05,2.26E-02,18
Cluster-6,secretion by cell ,Intercellular Transport,GO:0032940,412,9,1.4,+,6.43,1.21E-05,1.72E-02,11
Cluster-6,vesicle-mediated transport ,Intercellular Transport,GO:0016192,1382,17,4.7,+,3.62,3.04E-06,6.81E-03,4
Cluster-6,export from cell ,Intercellular Transport,GO:0140352,467,9,1.59,+,5.67,3.17E-05,2.37E-02,20
Cluster-6,cellular process ,Intracellular Process,GO:0009987,15044,67,51.15,+,1.31,1.99E-06,1.04E-02,9
Cluster-6,endomembrane system organization ,Intracellular Process,GO:0010256,554,10,1.88,+,5.31,1.93E-05,2.02E-02,13
Cluster-6,establishment of protein localization ,Intracellular Process,GO:0045184,1267,15,4.31,+,3.48,2.04E-05,2.00E-02,12
Cluster-6,protein transport ,Intracellular Process,GO:0015031,1179,14,4.01,+,3.49,3.92E-05,2.56E-02,24
Cluster-6,regulation of catalytic activity ,Metabolic Process,GO:0050790,2373,23,8.07,+,2.85,2.10E-06,8.22E-03,8
Cluster-6,regulation of hydrolase activity ,Metabolic Process,GO:0051336,1020,17,3.47,+,4.9,4.54E-08,7.12E-04,1
Cluster-6,superoxide metabolic process ,Metabolic Process,GO:0006801,42,4,0.14,+,28.01,1.77E-05,2.31E-02,19
Cluster-6,cell activation ,Response to Stimulus,GO:0001775,700,13,2.38,+,5.46,6.84E-07,5.36E-03,2
Cluster-7,porphyrin-containing compound biosynthetic process ,Biosynthetic Process,GO:0006779,30,2,0.04,+,52.79,7.41E-04,,6
Cluster-7,tetrapyrrole biosynthetic process ,Biosynthetic Process,GO:0033014,30,2,0.04,+,52.79,7.41E-04,,7
Cluster-7,penetration of cumulus oophorus ,Developmental Process,GO:0061956,1,1,0,+, > 100,2.52E-03,,23
Cluster-7,homeostasis of number of cells ,Homeostasis,GO:0048872,257,4,0.32,+,12.33,3.01E-04,,3
Cluster-7,respiratory burst involved in inflammatory response ,Immune Function,GO:0002536,1,1,0,+, > 100,2.52E-03,,19
Cluster-7,regulation of L-lysine import across plasma membrane ,Intercellular Transport,GO:1905008,1,1,0,+, > 100,2.52E-03,,25
Cluster-7,positive regulation of L-arginine import across plasma membrane ,Intercellular Transport,GO:1905589,1,1,0,+, > 100,2.52E-03,,22
Cluster-7,positive regulation of L-lysine import across plasma membrane ,Intercellular Transport,GO:1905010,1,1,0,+, > 100,2.52E-03,,24
Cluster-7,actin filament capping ,Intracellular Process,GO:0051693,37,2,0.05,+,42.8,1.10E-03,,8
Cluster-7,negative regulation of actin filament depolymerization ,Intracellular Process,GO:0030835,41,2,0.05,+,38.63,1.34E-03,,12
Cluster-7,positive regulation of membrane hyperpolarization ,Intracellular Process,GO:1902632,1,1,0,+, > 100,2.52E-03,,20
Cluster-7,regulation of actin filament depolymerization ,Intracellular Process,GO:0030834,56,2,0.07,+,28.28,2.42E-03,,16
Cluster-7,uterine smooth muscle contraction ,Intracellular Process,GO:0070471,1,1,0,+, > 100,2.52E-03,,21
Cluster-7,ADP metabolic process ,Metabolic Process,GO:0046031,51,2,0.06,+,31.05,2.03E-03,,14
Cluster-7,aldehyde catabolic process ,Metabolic Process,GO:0046185,15,2,0.02,+, > 100,2.06E-04,,2
Cluster-7,cellular metabolic process ,Metabolic Process,GO:0044237,6606,16,8.34,+,1.92,2.47E-03,,18
Cluster-7,heterocycle metabolic process ,Metabolic Process,GO:0046483,2999,10,3.79,+,2.64,2.44E-03,,17
Cluster-7,hydrogen peroxide catabolic process ,Metabolic Process,GO:0042744,28,2,0.04,+,56.56,6.51E-04,,5
Cluster-7,hydrogen peroxide metabolic process ,Metabolic Process,GO:0042743,40,2,0.05,+,39.59,1.28E-03,,10
Cluster-7,organic cyclic compound metabolic process ,Metabolic Process,GO:1901360,3292,11,4.16,+,2.65,1.29E-03,,11
Cluster-7,porphyrin-containing compound metabolic process ,Metabolic Process,GO:0006778,48,2,0.06,+,33,1.81E-03,,13
Cluster-7,multi-multicellular organism process ,Multicellular Organismal Process,GO:0044706,205,3,0.26,+,11.59,2.22E-03,,15
Cluster-7,cellular response to chemical stress ,Response to Stimulus,GO:0062197,273,4,0.34,+,11.6,3.78E-04,,4
Cluster-7,response to oxidative stress ,Response to Stimulus,GO:0006979,367,5,0.46,+,10.79,8.97E-05,,1
Cluster-7,response to reactive oxygen species ,Response to Stimulus,GO:0000302,167,3,0.21,+,14.23,1.25E-03,,9
Cluster-8,complement activation ,Complement Cascade,GO:0006956,140,2,0.06,+,32.68,1.65E-03,,5
Cluster-8,"complement activation, alternative pathway ",Complement Cascade,GO:0006957,15,1,0.01,+, > 100,6.97E-03,,23
Cluster-8,"complement activation, classical pathway ",Complement Cascade,GO:0006958,121,2,0.05,+,37.81,1.24E-03,,2
Cluster-8,adaptive immune response ,Immune Function,GO:0002250,659,3,0.29,+,10.41,2.40E-03,,6
Cluster-8,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains ,Immune Function,GO:0002460,265,2,0.12,+,17.27,5.67E-03,,20
Cluster-8,B cell mediated immunity ,Immune Function,GO:0019724,196,2,0.09,+,23.34,3.17E-03,,11
Cluster-8,defense response ,Immune Function,GO:0006952,1478,4,0.65,+,6.19,2.51E-03,,7
Cluster-8,humoral immune response ,Immune Function,GO:0006959,339,3,0.15,+,20.24,3.54E-04,,1
Cluster-8,humoral immune response mediated by circulating immunoglobulin ,Immune Function,GO:0002455,125,2,0.05,+,36.6,1.32E-03,,3
Cluster-8,immune response ,Immune Function,GO:0006955,1621,4,0.71,+,5.65,3.52E-03,,13
Cluster-8,immunoglobulin mediated immune response ,Immune Function,GO:0016064,192,2,0.08,+,23.83,3.04E-03,,9
Cluster-8,innate immune response ,Immune Function,GO:0045087,832,3,0.36,+,8.25,4.64E-03,,16
Cluster-8,lymphocyte mediated immunity ,Immune Function,GO:0002449,257,2,0.11,+,17.8,5.35E-03,,18
Cluster-8,positive regulation of immune system process ,Immune Function,GO:0002684,967,3,0.42,+,7.1,7.06E-03,,24
Cluster-8,protection from natural killer cell mediated cytotoxicity ,Immune Function,GO:0042270,6,1,0,+, > 100,3.05E-03,,10
Cluster-8,regulation of immune response ,Immune Function,GO:0050776,935,3,0.41,+,7.34,6.43E-03,,22
Cluster-8,regulation of immune system process ,Immune Function,GO:0002682,1520,4,0.66,+,6.02,2.78E-03,,8
Cluster-8,cell recognition ,Intercellular Communication,GO:0008037,230,2,0.1,+,19.89,4.32E-03,,14
Cluster-8,copper ion transport ,Metabolic Process,GO:0006825,16,1,0.01,+, > 100,7.40E-03,,25
Cluster-8,folic acid transport ,Metabolic Process,GO:0015884,9,1,0,+, > 100,4.36E-03,,15
Cluster-8,negative regulation of endopeptidase activity ,Metabolic Process,GO:0010951,248,2,0.11,+,18.45,4.99E-03,,17
Cluster-8,negative regulation of peptidase activity ,Metabolic Process,GO:0010466,257,2,0.11,+,17.8,5.35E-03,,19
Cluster-8,epidermal cell differentiation ,Skin Development,GO:0009913,201,2,0.09,+,22.76,3.32E-03,,12
Cluster-8,keratinocyte differentiation ,Skin Development,GO:0030216,138,2,0.06,+,33.15,1.60E-03,,4
Cluster-8,skin development ,Skin Development,GO:0043588,268,2,0.12,+,17.07,5.80E-03,,21
Cluster-9,cardiac muscle cell-cardiac muscle cell adhesion ,Cell Adhesion,GO:0086042,7,2,0.01,+, > 100,1.78E-05,1.74E-02,16
Cluster-9,tissue development ,Developmental Process,GO:0009888,1726,8,1.26,+,6.36,9.30E-06,1.12E-02,13
Cluster-9,defense response to other organism ,Immune Function,GO:0098542,1068,6,0.78,+,7.71,6.59E-05,4.70E-02,22
Cluster-9,bundle of His cell to Purkinje myocyte communication ,Intercellular Communication,GO:0086069,14,2,0.01,+, > 100,5.90E-05,4.41E-02,21
Cluster-9,bundle of His cell-Purkinje myocyte adhesion involved in cell communication ,Intercellular Communication,GO:0086073,6,2,0,+, > 100,1.38E-05,1.44E-02,15
Cluster-9,cytoskeleton organization ,Intracellular Process,GO:0007010,1240,7,0.9,+,7.75,1.22E-05,1.37E-02,14
Cluster-9,intermediate filament cytoskeleton organization ,Intracellular Process,GO:0045104,92,7,0.07,+, > 100,2.97E-13,2.33E-09,3
Cluster-9,intermediate filament organization ,Intracellular Process,GO:0045109,70,7,0.05,+, > 100,4.84E-14,7.58E-10,1
Cluster-9,intermediate filament-based process ,Intracellular Process,GO:0045103,93,7,0.07,+, > 100,3.19E-13,1.67E-09,2
Cluster-9,regulation of ventricular cardiac muscle cell action potential ,Intracellular Process,GO:0098911,12,2,0.01,+, > 100,4.48E-05,3.90E-02,18
Cluster-9,supramolecular fiber organization ,Intracellular Process,GO:0097435,580,7,0.42,+,16.57,7.76E-08,1.22E-04,10
Cluster-9,defense response to bacterium ,Response to Bacteria,GO:0042742,376,5,0.27,+,18.25,5.43E-06,7.09E-03,12
Cluster-9,response to bacterium ,Response to Bacteria,GO:0009617,754,5,0.55,+,9.1,0.000148,,25
Cluster-9,response to external stimulus ,Response to Stimulus,GO:0009605,2469,8,1.8,+,4.45,0.000127,,24
Cluster-9,desmosome organization ,Skin Development,GO:0002934,10,2,0.01,+, > 100,3.25E-05,3.00E-02,17
Cluster-9,epidermal cell differentiation ,Skin Development,GO:0009913,201,7,0.15,+,47.8,5.80E-11,1.14E-07,8
Cluster-9,epidermis development ,Skin Development,GO:0008544,321,8,0.23,+,34.21,2.27E-11,5.92E-08,6
Cluster-9,epithelial cell differentiation ,Skin Development,GO:0030855,620,8,0.45,+,17.71,3.80E-09,6.61E-06,9
Cluster-9,epithelial cell-cell adhesion ,Skin Development,GO:0090136,18,2,0.01,+, > 100,0.0000933,,23
Cluster-9,epithelium development ,Skin Development,GO:0060429,1072,8,0.78,+,10.24,2.57E-07,3.66E-04,11
Cluster-9,hair cycle ,Skin Development,GO:0042633,98,3,0.07,+,42.02,4.98E-05,4.11E-02,20
Cluster-9,keratinization ,Skin Development,GO:0031424,83,6,0.06,+,99.22,2.66E-11,5.95E-08,7
Cluster-9,keratinocyte differentiation ,Skin Development,GO:0030216,138,7,0.1,+,69.62,4.54E-12,1.78E-08,5
Cluster-9,molting cycle ,Skin Development,GO:0042303,98,3,0.07,+,42.02,4.98E-05,3.91E-02,19
Cluster-9,skin development ,Skin Development,GO:0043588,268,8,0.2,+,40.97,5.56E-12,1.74E-08,4
Cluster-16,biological process involved in interspecies interaction between organisms ,Biologic Process,GO:0044419,1602,19,5.91,+,3.21,0.00000448,6.38E-03,11
Cluster-16,regulation of biological quality ,Biologic Process,GO:0065008,3677,30,13.57,+,2.21,0.0000135,9.19E-03,24
Cluster-16,complement activation ,Complement Cascade,GO:0006956,140,8,0.52,+,15.48,7.15E-08,1.12E-03,1
Cluster-16,"complement activation, classical pathway ",Complement Cascade,GO:0006958,121,7,0.45,+,15.67,0.000000455,3.56E-03,7
Cluster-16,activation of immune response ,Immune Function,GO:0002253,356,10,1.31,+,7.61,0.000000908,2.37E-03,4
Cluster-16,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains ,Immune Function,GO:0002460,265,8,0.98,+,8.18,0.00000726,7.59E-03,17
Cluster-16,B cell mediated immunity ,Immune Function,GO:0019724,196,7,0.72,+,9.68,0.00000981,7.69E-03,19
Cluster-16,defense response ,Immune Function,GO:0006952,1478,18,5.46,+,3.3,0.00000591,7.13E-03,14
Cluster-16,defense response to other organism ,Immune Function,GO:0098542,1068,15,3.94,+,3.8,0.00000785,7.69E-03,20
Cluster-16,humoral immune response mediated by circulating immunoglobulin ,Immune Function,GO:0002455,125,7,0.46,+,15.17,0.00000056,2.93E-03,5
Cluster-16,immune effector process ,Immune Function,GO:0002252,470,11,1.73,+,6.34,0.00000142,3.18E-03,6
Cluster-16,immune system process ,Immune Function,GO:0002376,2429,23,8.97,+,2.57,0.0000146,9.14E-03,23
Cluster-16,immunoglobulin mediated immune response ,Immune Function,GO:0016064,192,7,0.71,+,9.88,0.00000861,7.11E-03,13
Cluster-16,innate immune response ,Immune Function,GO:0045087,832,13,3.07,+,4.23,0.0000115,8.55E-03,22
Cluster-16,leukocyte mediated immunity ,Immune Function,GO:0002443,310,9,1.14,+,7.87,0.00000256,4.45E-03,9
Cluster-16,lymphocyte mediated immunity ,Immune Function,GO:0002449,257,9,0.95,+,9.49,0.000000569,2.23E-03,3
Cluster-16,"phagocytosis, engulfment ",Immune Function,GO:0006911,132,6,0.49,+,12.31,0.0000118,8.44E-03,21
Cluster-16,positive regulation of immune response ,Immune Function,GO:0050778,590,12,2.18,+,5.51,0.0000019,3.72E-03,8
Cluster-16,regulation of immune response ,Immune Function,GO:0050776,935,14,3.45,+,4.06,0.00000812,7.49E-03,15
Cluster-16,membrane organization ,Intracellular Process,GO:0061024,851,13,3.14,+,4.14,0.0000145,9.47E-03,25
Cluster-16,regulation of proteolysis ,Metabolic Process,GO:0030162,743,14,2.74,+,5.1,0.000000581,1.82E-03,2
Cluster-16,AMP metabolic process ,Metabolic Process,GO:0046033,25,4,0.09,+,43.35,0.00000374,5.87E-03,10
Cluster-16,negative regulation of proteolysis ,Metabolic Process,GO:0045861,345,9,1.27,+,7.07,0.00000596,6.67E-03,12
Cluster-16,response to stimulus ,Response to Stimulus,GO:0050896,8209,50,30.3,+,1.65,0.00000584,7.63E-03,18
Cluster-16,response to stress ,Response to Stimulus,GO:0006950,3466,29,12.79,+,2.27,0.00000861,7.50E-03,16